"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Brasiléia (AC),19472,-,19427,-,19876,-,18160,-,21921,-,21827,-,21095,-,17435,-,11392,-,9050,-,12667,8,13573,8,15453,11,15782,11,13839,13,13536,13,11575,14,11574,12,11409,8,10117,7,9991,7
Rio Negro (AM),4824,6,4826,6,4826,6,4795,6,4772,6,5213,6,5213,6,5163,6,3582,8,3635,8,1384,15,2179,10,2176,11,2117,14,1490,10,2715,6,1766,29,950,4,271,-,1110,-,955,-
Japurá (AM),744,-,744,-,744,-,740,-,744,-,813,-,843,-,956,-,701,-,714,-,1325,-,577,-,757,-,717,-,803,-,804,-,4442,-,4327,-,394,-,387,-,377,-
Alto Solimões (AM),16147,3,16147,3,16150,3,16076,3,15942,3,10690,3,11125,3,10601,3,9987,4,9448,4,5844,11,6618,34,5796,39,6278,30,4324,11,4929,9,4547,-,3554,6,2915,14,2875,11,3311,9
Juruá (AM),16572,26,15233,26,15265,26,9891,37,9331,45,11777,25,12980,51,10586,52,10203,32,10317,34,9045,55,8707,62,12821,44,9932,38,6473,68,6450,46,5341,58,5715,56,6402,32,6142,29,6054,193
Tefé (AM),16501,-,16551,-,16556,-,9887,-,12356,-,17859,-,17906,-,17762,-,17418,-,17410,-,16806,-,19856,-,12464,1,13275,2,15948,2,8788,2,19668,-,20430,-,20393,-,20161,-,19849,-
Coari (AM),10521,29,10331,29,10622,29,10517,29,10353,28,10937,29,11913,29,11321,29,9279,28,9739,29,9040,13,8778,27,7913,13,6514,8,5536,-,4483,-,2734,-,3524,-,3547,-,3504,-,3306,-
Manaus (AM),15389,228,15904,228,15916,228,15858,228,16722,168,24438,213,25081,216,25327,216,19299,112,19370,114,24058,242,25117,370,25839,209,28384,216,26157,221,27891,333,21306,357,27215,404,24587,354,24470,289,25665,342
Rio Preto da Eva (AM),3462,-,3461,-,3606,-,3590,-,3856,-,5364,-,5364,-,5320,-,5520,-,5474,-,6588,2,7341,4,9395,2,8388,2,9169,-,8095,-,6713,-,5134,-,5147,-,4269,-,4083,-
Itacoatiara (AM),14032,1,14136,-,15363,-,14597,-,14693,-,13251,-,12311,-,14662,-,10367,-,10484,-,11693,8,13302,16,13034,8,12445,14,5390,1,8130,1,9236,11,6031,7,7256,-,7393,-,6541,2
Parintins (AM),11735,2,11158,2,11189,2,8420,20,7765,20,15785,-,16941,-,16402,-,16160,-,16363,-,17235,18,17526,14,15842,6,16739,10,13830,10,8335,8,6373,1,5125,2,5113,-,6686,-,7263,-
Boca do Acre (AM),6919,1,6918,-,6918,-,6900,-,4636,-,3402,-,4595,-,4588,-,2801,-,2830,-,3919,6,4959,12,4481,5,1807,5,2559,15,1831,-,1425,-,1716,4,1934,4,2013,4,2066,4
Purus (AM),4820,16,4820,16,5653,16,4800,16,3587,16,7668,16,7887,14,4959,16,6695,14,6767,15,7351,13,8905,28,11714,13,9212,17,5378,5,3981,5,4206,10,5056,10,3173,12,3703,11,4843,14
Madeira (AM),28661,4,27762,4,28614,4,32380,23,24276,23,37679,23,30789,23,17338,4,27010,-,27616,-,21177,16,22166,31,23415,26,19742,15,16116,8,13886,7,13432,7,14391,7,15094,7,16776,6,17285,6
Boa Vista (RR),14570,-,10212,-,13437,-,16623,-,23977,-,21090,-,17987,-,12627,-,14746,-,9671,-,9689,-,12480,-,13838,-,18619,-,18415,5,24928,5,23366,10,19765,42,29528,46,32282,45,41187,45
Nordeste de Roraima (RR),12120,-,9029,-,12022,-,15652,-,22095,-,22050,-,21850,-,16620,-,18675,-,12190,-,12212,-,15944,-,17454,-,21090,-,20635,20,17799,20,22577,20,22189,31,27973,20,35758,190,38538,180
Caracaraí (RR),6215,-,5861,-,7468,-,8062,-,8005,-,8995,-,9045,-,7445,-,7495,-,7308,-,7313,-,7765,-,6860,-,5246,-,3954,-,3244,-,3118,-,3630,-,6847,-,2334,-,2955,-
Sudeste de Roraima (RR),4609,-,4892,-,5630,-,6407,-,5776,-,5788,-,5816,-,5216,-,5217,-,5664,-,5676,-,5946,-,5356,-,4849,14,4810,14,4629,16,3133,16,1994,14,2142,10,1291,15,1365,15
Óbidos (PA),41156,31,42446,36,43701,41,48736,-,50719,-,32210,-,31268,-,31802,-,31251,-,35293,-,39680,-,35162,-,42619,-,41651,-,59219,-,49038,-,42313,-,43339,-,49008,-,48823,-,46314,-
Santarém (PA),85246,10,94543,11,107321,4,174865,-,197817,-,215001,-,187971,-,169688,-,177297,1,169766,1,137358,-,134157,-,134252,-,153060,-,161200,-,144268,-,129429,-,162764,-,121124,-,121368,-,151458,-
Almeirim (PA),1492,-,1517,-,1074,-,1058,-,1319,-,1318,-,1318,-,1555,-,1580,-,1708,-,1139,-,1148,-,1414,-,1353,-,1278,-,1644,-,1407,-,1185,-,1175,-,1175,-,1161,-
Portel (PA),3143,-,2917,-,2083,-,2138,-,1733,-,1796,-,1781,-,1778,-,1783,-,1798,-,1715,-,1597,-,5086,-,5058,-,5048,-,5288,-,10528,-,12192,-,13860,-,16781,-,19772,-
Furos de Breves (PA),2203,-,2400,-,2197,-,2384,-,1821,-,1778,-,2002,-,1844,-,1490,-,1652,-,1859,-,2137,-,1603,-,1073,-,908,-,949,-,1101,-,1141,-,1382,-,1314,-,1362,-
Arari (PA),1063,-,942,-,936,-,978,-,1012,-,1019,-,860,-,918,-,911,-,944,-,779,-,3293,-,3690,-,3990,-,4260,-,5376,-,6133,-,6283,-,7877,-,8860,-,7823,-
Belém (PA),1570,3,1373,3,1149,-,1169,-,1169,-,1220,-,1344,-,1482,-,1464,-,1555,-,1554,-,1965,-,2075,-,1930,-,1860,-,1540,-,1820,-,2441,-,2195,-,2175,-,2177,-
Castanhal (PA),12133,-,13137,-,14701,-,16794,-,17712,-,21752,-,23972,-,17108,-,16422,-,16935,-,12187,-,10202,-,9279,-,8580,-,8365,-,12424,-,13104,-,8015,-,8186,-,8518,-,8518,-
Salgado (PA),19653,-,15072,-,16545,-,16308,-,17226,-,19114,-,17319,-,16260,-,12640,-,10737,-,11232,-,9590,-,10320,-,10122,-,9878,-,8270,-,9452,-,9261,-,8989,-,6883,-,6931,-
Bragantina (PA),47162,-,50140,-,55413,-,58652,-,62479,-,58516,-,62828,-,59974,-,59985,-,60671,-,52681,-,53120,-,50357,-,49168,-,48467,-,46700,-,39486,5,43468,5,40364,-,39107,-,38517,-
Cametá (PA),9316,2,8754,2,7419,-,10165,-,9492,-,10881,-,13208,-,14895,-,11904,-,12398,-,12523,-,12873,-,14690,-,12514,-,17609,-,14101,-,20526,-,18506,-,17826,-,46551,-,46147,-
Tomé-Açu (PA),36345,-,42927,-,43763,-,50908,-,47938,-,73512,-,54233,-,69436,-,61238,-,49650,-,50251,-,50138,-,51648,-,46742,-,59237,-,53695,-,49785,-,44470,-,57064,-,55839,-,69929,-
Guamá (PA),97423,-,101511,-,89762,-,88727,-,93833,-,94765,-,97758,-,90945,-,81197,-,82952,-,82327,-,81992,-,78966,-,72513,-,63643,-,61520,-,57390,-,59368,-,53908,-,60793,-,63567,-
Itaituba (PA),39285,49,41140,38,45358,39,47544,-,52547,-,54348,30,48389,30,52709,30,51840,30,48883,45,44169,45,43670,50,42874,50,40824,30,42955,30,38431,31,58445,25,64339,25,35910,25,43240,25,43555,18
Altamira (PA),73913,-,64216,-,63175,-,58839,-,56398,-,59662,-,51792,-,49183,-,42120,-,38399,-,38753,-,37993,-,35765,-,31446,-,28112,-,28866,-,21677,-,21768,-,22070,-,42761,-,43441,-
Tucuruí (PA),45138,-,45692,-,46105,-,57135,15,55757,15,63010,15,63711,-,63111,-,53843,-,55413,-,47191,-,49412,-,46342,-,44768,-,43542,-,38971,-,36115,-,34071,-,11223,-,9002,-,8951,-
Paragominas (PA),81249,-,81716,-,79123,-,88059,-,113951,-,120434,-,106123,-,105694,-,123360,-,125775,-,132367,-,140961,-,158968,-,200275,-,207858,-,309545,-,340133,-,379745,-,425256,-,401685,-,416054,7
São Félix do Xingu (PA),253636,-,104563,-,55694,-,53805,-,39979,-,33232,-,30347,-,30401,-,30491,-,26538,-,26879,-,26533,-,27721,-,25812,-,27182,-,31188,-,40599,-,47456,-,31001,-,33645,-,57660,-
Parauapebas (PA),37584,-,34840,-,27546,-,29025,-,28119,-,34453,-,35637,-,32443,-,23677,-,24074,-,16859,-,15627,-,15983,-,17652,-,19449,-,20085,-,20037,-,22896,-,23201,-,24880,-,25306,-
Marabá (PA),29336,-,29503,-,35482,-,38495,-,34897,-,30947,-,32924,-,25757,-,28964,-,24514,-,21920,-,21337,-,19647,-,23288,-,18183,-,18515,-,18755,-,20290,-,20290,-,19445,-,19839,-
Redenção (PA),124188,-,91876,-,79129,-,63994,-,53995,-,38574,-,33407,-,32215,-,32799,-,24166,-,22380,-,21017,-,19314,-,22674,-,25968,-,27254,-,27089,-,28581,-,27552,-,23445,-,28802,-
Conceição do Araguaia (PA),87503,-,75673,-,73833,-,80293,-,88531,-,94273,-,84815,-,81490,-,48670,-,45465,-,37930,-,42050,-,46220,-,73970,-,98895,-,97625,-,121989,-,167142,-,178390,-,213891,-,256476,-
Oiapoque (AP),1215,-,1920,-,1830,-,1813,-,1960,-,2315,-,2345,-,2567,-,2913,-,3265,-,3548,-,3955,-,3830,-,3446,-,3878,-,3449,-,3202,-,3433,-,2665,-,2706,-,2844,-
Amapá (AP),1150,-,3670,-,3494,-,2877,-,2630,-,2690,-,2619,-,2772,-,3360,-,3791,-,4123,-,3892,-,3617,-,3611,-,4421,-,3784,-,3968,-,4411,-,8957,-,8851,-,9376,-
Macapá (AP),4476,-,4953,-,5252,-,5476,-,6374,-,7222,-,6850,-,7386,-,8811,-,9553,-,10365,-,9864,-,9387,-,13375,-,26655,-,19810,-,23118,-,27062,-,19462,-,20108,-,20708,-
Mazagão (AP),1761,8,2137,-,2215,-,1941,-,2092,-,2507,-,2495,-,2931,-,3379,-,3889,-,4305,-,4365,-,4091,-,3848,-,4430,-,3835,-,3790,-,3957,-,3154,-,3135,-,3213,-
Bico do Papagaio (TO),22083,-,21625,-,26099,-,26127,-,36194,-,29216,-,23647,-,24169,-,24695,-,17022,-,18390,-,17846,-,19585,-,20691,-,18407,-,18212,-,18231,-,21496,-,22477,-,23987,-,24049,-
Araguaína (TO),20338,-,20299,-,23407,-,26292,-,29057,-,41149,-,38500,-,37450,-,41243,-,37454,-,38422,-,27865,-,25639,-,27984,-,31257,-,44607,-,63284,-,58635,-,65554,-,49231,-,47585,-
Miracema do Tocantins (TO),29882,-,29552,-,31106,-,35039,-,55047,-,82001,-,79062,-,70683,-,70333,-,62250,-,64240,-,60397,-,56915,-,71279,-,93434,-,108342,-,172808,-,204057,-,217532,-,251478,-,278938,-
Rio Formoso (TO),88030,-,82619,-,85822,-,112124,-,119874,-,122701,-,82834,-,103239,-,111143,-,107901,-,121055,-,125676,-,131127,-,164581,-,193774,-,223728,-,200727,-,220368,-,216934,-,216746,-,252108,-
Gurupi (TO),29844,-,32984,-,31672,-,37751,-,54778,-,61239,-,50478,-,45196,-,52543,-,60133,-,71095,-,63063,-,70983,-,95144,-,157493,-,210741,-,202763,-,224939,-,248484,-,242035,-,254804,-
Porto Nacional (TO),46904,-,55673,-,59749,-,63582,-,103634,-,125789,-,126785,-,107479,-,110805,-,105461,-,108498,-,153700,-,161975,-,155699,-,197628,-,246303,1,255766,-,251449,-,265449,-,293870,-,313545,-
Jalapão (TO),20919,-,34393,-,61100,-,63569,-,85475,-,143367,-,128731,-,126690,-,153123,-,135976,-,152070,-,169916,-,178232,-,196679,-,220984,-,241840,-,221453,-,190975,-,225907,-,239477,1,240353,1
Dianópolis (TO),32097,-,32384,-,35928,-,44780,-,57478,-,81656,-,66659,-,68679,-,82673,-,86127,-,90425,-,87415,-,86509,-,102200,-,121720,-,105721,-,92940,-,106543,-,86036,-,96637,-,135986,-
Litoral Ocidental Maranhense (MA),15078,-,15783,-,13133,-,16646,-,15182,-,17111,-,17816,-,18102,-,18371,-,19088,-,19697,-,18871,-,18994,-,18231,-,17933,-,16953,-,15330,60,12965,8,11262,6,10952,4,10088,3
Aglomeração Urbana de São Luís (MA),407,-,586,-,219,-,190,-,179,-,157,-,140,-,143,-,157,-,257,-,260,-,261,-,230,-,235,-,233,-,177,-,157,-,147,-,77,-,61,-,51,-
