"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Área plantada (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Vale do Ipanema (PE),43452,-,17259,300,41088,300,41268,280,36503,280,48389,300,63464,300,66736,300,73893,350,67653,350,41773,350,50258,350,27864,350,17114,350,46135,350,23765,350,47020,400,44465,400,14975,100,14811,100,17239,113
Vale do Ipojuca (PE),40994,106,45323,108,34356,131,28874,119,39721,113,38443,95,39922,37,45102,69,52916,86,46422,91,46691,91,54636,91,44316,46,25770,31,35039,23,23816,30,35392,32,31609,31,33706,97,22982,95,22522,103
Alto Capibaribe (PE),13226,44,7692,44,9640,36,5074,24,6094,24,5880,15,5140,12,6302,15,8100,28,10947,28,37338,28,37310,31,11157,28,4789,13,5183,16,4616,18,9120,16,7003,11,11854,9,11514,5,13582,5
Médio Capibaribe (PE),29406,64,19372,65,26427,68,22913,45,17578,10,16237,26,19561,37,19376,27,21439,47,21672,87,30614,82,35193,82,33896,82,17394,59,22131,63,18652,63,19727,63,17529,30,16055,47,13950,71,16648,61
Garanhuns (PE),107433,1243,104282,1082,120375,1152,109501,1195,117070,745,117531,705,113118,1007,109652,857,129689,953,112335,848,93012,828,99688,1057,94661,1052,68605,765,87915,897,67570,888,85593,939,83982,1041,66242,611,59570,1501,60842,1596
Brejo Pernambucano (PE),19570,306,21785,340,18893,359,14381,532,14461,544,14715,548,16341,215,15964,200,20465,530,18690,530,36027,555,35432,515,28934,225,23792,74,25107,69,24782,54,24047,49,23488,1121,11810,565,8527,630,8500,638
Mata Setentrional Pernambucana (PE),119771,260,148776,258,157232,259,128439,225,137420,212,141398,270,145174,192,148363,223,158051,227,149356,227,109478,227,109125,230,94512,173,98711,158,100552,130,100554,152,81593,130,87277,214,91738,244,82729,377,83378,199
Vitória de Santo Antão (PE),22203,73,22032,67,20617,73,18379,83,17288,85,14865,88,13320,-,13897,35,24978,35,13907,65,16027,65,14368,75,14884,50,13858,-,13790,-,15320,-,14576,-,13761,-,10597,20,12016,42,12156,55
Mata Meridional Pernambucana (PE),146001,120,156105,161,132541,204,128524,214,124528,220,128028,215,127215,-,143523,22,170660,153,143490,158,127217,120,124159,134,130455,115,114562,130,115946,40,128882,62,113307,55,100359,107,100678,500,96683,635,109635,441
Itamaracá (PE),9870,-,11802,-,11283,50,12366,36,14091,18,13790,40,12418,51,13671,63,11206,38,9979,46,10728,40,10574,41,9637,14,11827,3,11844,-,9264,-,8796,-,11314,-,9801,36,9657,29,11074,30
Recife (PE),25566,-,14911,-,30386,71,30216,25,31011,-,31046,20,31222,38,32481,43,32328,32,32249,32,30104,37,24841,32,23575,5,27140,5,28640,-,28340,-,20320,-,16900,-,17121,-,11238,55,17230,55
Suape (PE),44586,-,43580,-,43504,-,43670,-,43670,-,43670,-,10597,-,10607,10,13414,10,10607,10,8360,10,11976,10,15000,-,16000,-,13000,-,16000,-,11500,-,14000,-,30892,180,32072,22,32613,28
Fernando de Noronha (PE),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Serrana do Sertão Alagoano (AL),25460,-,28887,-,31669,-,13559,-,24715,-,37030,-,36952,-,36288,-,34836,-,28406,-,20611,-,21661,-,5785,-,9730,-,16507,-,16986,-,12491,-,15889,27,9316,32,6858,44,10503,42
Alagoana do Sertão do São Francisco (AL),8600,-,11318,-,11610,-,4725,-,12143,-,14432,-,15000,-,16005,-,16126,-,12801,-,10324,-,9158,-,2806,-,3434,-,7462,-,8685,-,7050,-,7833,30,4648,30,1534,30,7465,30
Santana do Ipanema (AL),38693,-,30433,-,42077,-,23283,-,30153,-,33541,-,32107,-,28063,-,29673,-,26565,-,23069,-,20546,-,3728,-,26273,-,23931,-,25750,-,13376,-,22947,-,7588,2,16749,2,16918,14
Batalha (AL),19360,-,22204,-,21419,-,19395,-,30108,-,22047,-,21723,-,18898,-,20400,-,17955,-,14814,-,11628,-,5791,-,9852,-,8895,-,7339,-,3016,-,3723,5,2908,11,3877,6,2884,17
Palmeira dos Índios (AL),14184,105,15978,169,17851,160,18562,145,26362,222,35047,114,32745,112,33231,130,33240,177,32688,196,19648,196,18744,165,8691,131,10392,223,8960,177,8688,130,9102,182,7815,267,9012,385,10993,436,10726,450
Arapiraca (AL),80720,721,78840,743,67564,816,53631,845,66385,907,60513,907,58935,907,58873,907,65496,906,60589,905,57572,894,52806,894,49514,880,47039,1031,51468,1136,44643,895,44379,989,50497,852,41095,823,54095,1147,49785,1088
Traipu (AL),16634,-,17405,-,13741,-,9702,-,6109,-,10204,-,9994,-,9936,-,10921,-,9641,-,7294,-,7815,-,4473,-,5418,-,5291,-,4020,2,3315,2,7047,20,3439,27,2580,17,2368,23
Serrana dos Quilombos (AL),39818,593,38548,728,32991,700,32047,765,32744,760,32742,768,31187,682,32031,687,32591,688,32271,706,30643,497,29345,450,28788,345,28360,386,28652,339,23820,328,23805,539,30008,718,19623,1042,20434,1167,20850,1174
Mata Alagoana (AL),150213,217,147571,187,128049,249,122438,257,120111,233,113567,179,112684,220,114991,228,123733,232,123357,248,122955,253,122726,217,121491,164,128508,241,122387,213,86327,183,91222,332,97082,504,78818,623,84364,766,72802,794
Litoral Norte Alagoano (AL),20401,80,19687,95,18615,115,18404,100,18735,81,17780,-,16719,59,16953,54,17754,55,17702,55,17634,55,17571,55,17314,-,19348,56,21953,164,6144,151,9332,154,20784,52,18500,68,18657,69,14483,69
Maceió (AL),70528,-,70949,65,72979,65,59856,64,58271,65,54623,63,54456,49,56615,49,56376,22,56376,22,56368,22,56366,22,56307,-,56402,2,56293,-,45166,-,43237,-,32415,3,43880,22,45506,37,40793,41
São Miguel dos Campos (AL),173099,-,170813,-,175198,-,171698,-,163301,-,160814,-,160771,-,163633,-,174529,-,173670,-,172934,28,172917,28,172598,33,171460,34,147732,79,114094,165,120820,256,131886,462,139032,544,150616,549,145436,679
Penedo (AL),29781,2,29268,2,26756,2,22379,2,38101,2,35514,2,33502,2,33223,2,35225,2,34449,2,34222,2,33676,2,33378,2,37129,2,41762,2,41010,2,36927,5,43141,24,25464,26,26141,33,24951,42
Sergipana do Sertão do São Francisco (SE),36161,2,38926,2,41192,3,61224,3,65330,-,65450,-,64990,-,63155,-,53412,-,53282,-,57205,-,50042,-,31157,-,35686,-,42124,-,42566,-,35121,-,30832,-,18513,-,24736,-,29139,-
Carira (SE),24427,17,29873,18,37756,30,49990,35,48143,40,42605,65,52003,60,62604,55,77273,72,80571,85,84311,80,79245,100,66321,100,71560,110,69902,120,66582,100,69678,150,66054,190,61070,160,61715,180,58688,193
Nossa Senhora das Dores (SE),10706,23,11440,26,13519,26,13732,21,14349,19,14216,11,18687,12,15644,12,14105,15,13739,15,14342,15,11170,15,9844,15,10750,13,9499,14,9494,10,9399,10,7724,8,8540,5,9919,5,10476,5
Agreste de Itabaiana (SE),13674,2346,14136,2450,14341,2640,15252,2770,13726,2600,13535,2510,15140,2640,14220,2710,15603,3125,15657,3105,15330,2890,15136,2720,14554,2955,13500,2740,13380,2810,12441,2670,10880,2760,10991,3018,8887,2360,10827,3360,11608,3640
Tobias Barreto (SE),55814,95,52575,100,51019,93,49510,80,52088,100,49270,90,49734,76,49542,70,50588,75,54976,60,59798,55,58842,55,60055,55,57594,30,57764,24,57523,-,57257,-,61342,-,47615,-,44182,-,41274,-
Agreste de Lagarto (SE),19157,215,17173,198,14729,150,13898,140,15925,155,15504,150,24664,130,15814,118,14953,95,14699,81,14657,75,14526,75,13228,11,14831,10,15404,10,14771,12,12565,15,14802,20,9467,-,8281,70,10231,86
Propriá (SE),13932,4,13040,7,12617,7,13010,7,13796,7,14194,7,17902,7,15893,7,16075,7,16282,7,16389,7,9809,7,11579,7,13008,4,13194,4,13106,3,12061,3,11629,3,9458,1,8233,1,9405,1
Cotinguiba (SE),5400,3,5752,8,5449,6,6791,5,6909,10,7265,15,13221,15,10634,30,11675,30,15587,30,16238,30,16607,30,14319,30,15344,35,13779,4,12956,5,11580,6,7622,5,8482,6,7366,8,7501,16
Japaratuba (SE),13843,26,14333,27,12964,25,13829,27,13275,27,13420,23,20451,23,18503,23,17274,18,17758,18,17764,18,18608,18,20399,16,17996,16,18436,16,19537,32,20210,28,19857,32,14928,30,15717,44,15444,43
Baixo Cotinguiba (SE),7919,18,7876,31,5420,29,8531,30,11055,40,12530,40,14975,40,14130,40,14287,52,12230,58,13656,65,15776,62,16116,50,15645,56,18104,35,19570,50,20217,55,15184,139,14832,145,11358,70,14306,70
Aracaju (SE),1348,8,1490,10,1126,9,1170,-,1200,-,1140,-,1540,-,1292,-,1295,-,1125,-,1448,-,1503,-,1560,-,1440,-,1587,-,4301,-,4492,-,4344,-,2495,2,1626,4,1065,4
Boquim (SE),7025,93,6066,90,5544,74,5754,75,6383,80,6988,83,10753,81,7489,75,8302,85,8317,85,8053,85,6860,70,6565,61,7184,43,7453,34,6394,7,8171,9,7002,26,7093,-,5819,15,7503,-
Estância (SE),4172,34,3992,33,3770,22,4084,27,4845,35,5202,35,10270,59,6321,59,6923,70,7145,70,7417,70,6466,55,5597,52,5253,33,4192,31,3445,-,2711,15,2824,24,2095,-,2222,34,1879,8
Barreiras (BA),774987,36,845911,39,892126,-,983858,-,1033955,-,1091474,-,1074338,-,1128165,-,1223928,-,1225121,-,1255451,-,1354676,-,1445579,-,1405551,-,1629854,-,1751753,-,1605740,-,1696245,-,1769222,-,1799571,-,1765477,-
Cotegipe (BA),36406,20,34058,19,55467,-,39292,-,42054,-,35760,-,33469,-,29446,-,31900,-,30417,-,35108,-,35566,-,37556,-,48741,-,59057,-,57674,-,50924,-,24485,-,22535,-,22287,-,22304,-
Santa Maria da Vitória (BA),173244,10,177227,8,175399,-,200402,-,253659,-,259165,-,263067,-,278983,-,306570,-,317524,-,310657,-,347260,-,379544,-,366319,-,418225,-,411304,-,458369,-,436058,-,455064,-,465169,-,473676,-
Juazeiro (BA),82516,49,87373,108,88825,6,69415,10,64403,6,66993,6,73807,6,83165,6,71609,-,69797,-,66285,-,47167,-,47355,-,32386,-,47004,-,49009,-,45939,-,38607,3,36910,1,41273,1,41159,1
Paulo Afonso (BA),11537,-,4798,-,5027,-,3302,-,2556,-,4031,-,11968,-,6303,-,7986,-,7842,-,7338,-,10408,-,5362,-,2527,-,3873,-,5153,-,11136,-,12402,-,8901,-,8473,-,12883,-
Barra (BA),15968,20,17165,8,16297,15,15799,18,17445,34,35315,44,26430,-,20537,50,29953,15,42058,40,38405,20,39983,9,32976,-,30880,2,30032,10,49936,11,42555,55,26940,43,23730,51,21166,32,23319,33
Bom Jesus da Lapa (BA),49515,8,48959,20,64436,20,61008,17,48178,20,44550,22,40281,16,41099,10,40218,6,45663,10,40605,-,67992,-,71370,-,68391,-,70338,-,68241,-,60376,-,29449,-,19005,-,23173,-,19065,-
Senhor do Bonfim (BA),82141,64,45461,57,49109,55,59702,120,63234,111,54161,103,62720,113,87322,99,42813,80,48808,74,44994,77,43671,68,10594,50,33958,53,73637,73,89223,68,23542,68,33508,73,33919,41,32243,48,36746,37
Irecê (BA),450154,10,396223,10,425619,-,472875,-,536303,-,519353,-,337374,-,372424,-,357919,-,356768,-,284513,-,314073,-,166536,-,142774,-,205399,-,194308,-,105041,-,96485,41,87275,-,89871,-,78459,-
Jacobina (BA),88291,82,78292,89,75427,72,96941,4,96381,66,81681,65,100576,76,98236,55,75419,56,60359,63,52775,55,41895,49,34397,3,23111,3,42147,5,57781,7,48495,7,30164,15,26025,17,26200,18,25427,14
Itaberaba (BA),33073,92,27307,158,38229,128,37768,108,31034,112,30935,134,38801,53,29105,40,39477,5,34249,45,36029,35,33494,38,17431,-,31656,16,26214,38,29387,38,18436,35,16103,32,18053,37,18629,37,16354,32
Feira de Santana (BA),65379,259,49722,290,65498,393,73852,465,47385,318,132462,584,127105,780,99740,803,112990,739,115065,1020,123021,992,105102,795,54207,18,73718,13,73680,13,61903,10,40239,10,70109,4,53067,8,52908,8,53146,8
Jeremoabo (BA),99333,3,90975,6,131680,-,146560,-,130016,-,132069,-,132090,-,89732,-,79092,-,100378,-,100520,-,114271,-,68888,-,65749,-,55482,-,51594,-,60862,-,50658,5,39051,-,36007,4,57196,2
Euclides da Cunha (BA),163227,140,170371,86,208975,30,165934,37,239872,30,238593,43,262562,44,231769,56,239222,31,227926,17,222923,19,196396,18,15627,-,137412,5,152331,10,166277,10,114195,10,72349,3,155928,4,124433,5,123153,5
Ribeira do Pombal (BA),226137,-,201452,-,205748,-,213955,-,204541,-,217083,-,218793,-,179518,-,149005,-,147074,-,135947,-,141002,-,87475,-,123452,-,124788,-,127259,-,125681,-,116869,-,118893,-,125376,-,147816,-
Serrinha (BA),66181,69,49010,65,48877,62,62269,68,75140,75,72146,132,57937,131,60567,104,63599,40,60377,30,61659,64,57749,79,29592,55,40199,38,39257,26,46723,38,35337,39,39301,45,39967,44,35044,55,43065,69
Alagoinhas (BA),26338,100,23116,60,29159,60,31644,50,31963,50,32753,51,34269,45,35359,49,42525,49,37932,19,37551,30,36921,30,31645,32,22030,12,26197,27,34990,30,33206,70,32548,84,31048,10,31880,64,31864,70
Entre Rios (BA),3333,25,3589,21,3443,21,4126,16,4339,16,5396,14,5758,13,5886,14,7426,14,6973,10,6828,10,7056,10,7633,13,5760,-,9621,-,8540,10,6279,10,9029,10,5833,26,5860,24,5763,20
Catu (BA),11265,57,7303,43,12727,30,9622,30,9008,30,11881,24,12879,27,13611,25,15450,30,8453,10,9245,25,14147,26,14142,-,15324,-,16177,-,9672,-,8907,-,2540,-,1482,-,1481,2,1409,2
Santo Antônio de Jesus (BA),50935,711,48074,804,45458,904,47750,969,49545,940,50140,851,51477,747,49711,698,50100,722,39766,721,41149,725,39683,742,38095,625,35126,586,38841,618,35973,617,35671,618,20601,280,18721,247,18680,246,18235,234
Salvador (BA),1360,6,1427,8,609,-,582,-,476,-,646,-,1009,-,1118,-,896,-,755,-,636,-,1065,-,1041,-,2187,-,2335,-,2688,1,2733,1,1381,-,826,3,822,3,823,3
Boquira (BA),31470,10,34408,-,38574,-,34053,-,27209,-,26968,-,30269,-,39266,-,28535,1,35406,1,32382,1,23426,1,25647,-,28063,-,30852,-,28132,-,28926,-,27939,-,21770,-,18794,-,19282,-
Seabra (BA),32411,38,36760,30,39931,20,42149,20,49508,35,43266,40,46486,-,50801,-,51276,5,48060,5,47798,105,46821,121,30695,110,28299,40,29153,30,33081,62,34258,60,27769,35,26931,25,25543,39,26972,27
Jequié (BA),35589,65,36893,69,35201,59,36665,83,34952,49,35423,28,40809,53,39556,52,37614,41,32653,56,30926,100,29402,236,28233,116,27325,168,25321,135,26158,207,24617,178,15114,132,14279,79,15797,104,13794,62
Livramento do Brumado (BA),23922,-,30439,-,28298,-,26400,-,23791,-,22492,-,19346,-,26859,-,14082,-,22948,-,21879,-,12361,-,13589,-,12834,-,16300,-,16007,-,15965,-,8682,-,7400,-,7787,-,8116,-
Guanambi (BA),129703,-,84203,-,104143,-,113188,-,113724,-,113139,-,91274,-,89141,-,95673,-,116026,-,120397,-,168389,-,169198,-,169166,-,147840,-,108103,-,63508,-,56079,-,47034,-,51018,-,50767,-
Brumado (BA),26571,-,29458,-,25719,-,24311,-,23131,-,25512,-,29431,-,31612,-,34933,-,30324,-,36136,-,35920,-,28240,-,28300,-,29432,-,29122,-,20419,-,25996,-,19169,-,19032,-,18923,-
Vitória da Conquista (BA),37250,12,51893,12,63785,12,63191,18,55291,18,54331,13,57320,8,38629,8,44723,5,42746,19,48084,41,37442,103,31936,34,47925,65,49183,83,50491,152,43268,160,27197,129,22850,114,23172,120,21678,98
Itapetinga (BA),7942,15,6918,16,8579,30,8748,30,6981,28,5994,-,14133,-,11579,-,13278,-,12609,-,10900,-,13405,-,10174,-,13280,-,17753,-,15692,-,15742,-,10599,-,5627,-,5630,-,4719,-
Valença (BA),12408,-,12252,-,10482,-,9421,-,9457,-,13294,-,15071,-,17332,-,19775,-,15116,-,14442,-,13688,-,12937,-,12942,-,4799,2,4707,2,6294,2,4956,2,4627,2,4559,3,4254,2
Ilhéus-Itabuna (BA),15738,108,14967,98,16201,78,16490,52,20284,72,26048,68,27525,60,28885,67,28774,38,22795,35,21526,35,20652,32,23727,38,22962,39,21788,-,19154,-,19291,-,10968,-,7243,-,7563,-,6451,-
Porto Seguro (BA),45774,172,45298,153,45532,121,48072,249,50893,206,51973,611,59991,652,59200,741,57104,612,48828,236,60213,208,69786,100,71118,75,75081,140,67364,195,70646,240,70008,318,62019,335,57566,285,56662,240,56994,256
Unaí (MG),236574,-,220378,-,274260,-,335974,-,375348,-,372329,-,359066,-,381512,-,387085,-,405824,-,413606,-,452561,-,467498,-,489295,-,511229,-,530693,-,502286,-,528519,153,473462,153,493828,123,484322,153
Paracatu (MG),161127,-,167073,-,199705,-,217455,-,233530,-,245762,-,220070,-,214489,-,222704,-,254043,-,269397,-,294635,-,342688,-,357242,-,381766,-,384017,-,374788,100,425639,-,416839,-,424968,-,426115,-
Januária (MG),68068,-,61644,-,61479,-,48971,-,54513,20,56395,25,55622,25,67640,25,63925,26,64083,28,69041,10,68886,6,66737,16,64253,80,58323,200,55153,180,67124,400,57794,878,51627,351,54464,216,52887,271
Janaúba (MG),58161,36,47852,23,44033,-,44996,15,56974,54,49984,76,60165,78,53441,50,52078,61,52017,78,50932,84,50159,69,43467,51,42250,43,40260,39,38053,76,37178,287,31508,107,23770,107,24771,287,23456,331
Salinas (MG),34349,22,31095,19,33211,10,32656,10,34379,18,37382,17,32404,15,39980,14,36320,15,38761,15,37720,11,37593,11,38933,189,34104,222,32915,250,31016,120,33885,94,26969,33,24240,18,24912,18,21688,17
Pirapora (MG),27178,-,26914,27,26616,26,35891,20,39997,5,56553,5,56941,3,51865,1,49888,1,42224,1,43821,-,46817,65,51306,125,56025,80,55371,12,52367,2,60554,2,54598,-,57783,1,66510,61,66906,165
Montes Claros (MG),77182,5,67723,2,65419,2,65233,5,66033,5,63950,5,61736,5,63442,-,62247,-,63276,-,64447,-,66037,-,65504,-,63575,121,59568,1,54460,3,49542,7,29289,20,33679,4,34609,4,33338,5
Grão Mogol (MG),11530,-,11016,-,8068,-,8037,-,8906,-,10215,-,8800,-,8644,-,6991,-,8594,-,8573,-,8311,-,8136,-,7800,-,7560,-,7066,8,6875,8,6573,-,7970,-,6798,-,6229,-
Bocaiúva (MG),16117,-,16919,-,17262,-,18218,-,17305,-,17830,-,18073,-,16805,-,16178,-,16362,-,16027,-,14979,-,15462,-,15545,-,8959,-,11498,-,11287,-,7067,1,6744,1,7907,1,7623,1
Diamantina (MG),7841,-,7254,-,7106,-,7422,-,6790,-,7002,-,8153,-,8165,-,8021,-,7762,-,7882,-,7285,-,6800,-,6215,2,6370,-,6308,4,6017,4,3436,1,3511,1,5249,5,5201,5
Capelinha (MG),26950,3,21403,2,21949,4,21869,2,17570,2,19881,12,21398,12,19848,14,18435,16,21681,16,16086,6,16506,18,18670,18,11746,-,11774,-,14823,-,14268,-,13887,7,13096,8,13024,7,12601,6
Araçuaí (MG),23697,5,13635,-,12544,-,12110,-,14976,-,11635,-,11875,-,12184,-,9425,-,12436,-,10957,-,10825,-,12107,-,11415,-,11647,-,12631,7,12060,6,11441,3,11623,3,10311,3,10159,7
Pedra Azul (MG),9834,17,9805,9,9603,8,9030,8,7736,10,8248,10,8132,10,7114,10,7152,10,6943,10,6780,10,5507,10,6140,10,6914,6,6471,-,5777,-,4191,-,4368,1,3930,1,4684,1,4082,-
Almenara (MG),14704,8,10779,3,11349,-,10998,-,9097,-,10337,-,11486,-,12352,-,12707,-,12930,-,13617,-,14144,-,12002,-,12611,-,11887,-,11378,-,11934,-,5818,1,5108,1,5957,1,5573,10
Teófilo Otoni (MG),17129,-,17129,-,16922,-,18550,-,14917,-,12902,-,15526,-,16146,-,14776,-,14776,-,15146,-,15462,-,16628,-,15650,2,14753,-,13355,2,12147,2,8515,3,8478,1,8510,1,8499,-
Nanuque (MG),8904,-,7564,-,6962,-,6443,-,5777,-,6687,-,7961,-,9096,-,9616,-,9929,-,9290,-,8595,-,8822,3,8695,-,8453,-,13048,-,7916,1,4418,-,4214,1,4457,1,5074,1
Ituiutaba (MG),68736,2,74832,2,88055,-,96807,-,120838,-,108238,-,89450,-,97127,-,109465,-,126924,-,146942,-,145164,-,150192,-,170188,-,191344,-,214045,-,219026,-,218791,-,209728,-,220326,-,235535,-
Uberlândia (MG),225022,-,223556,-,236366,-,280353,-,330957,-,333270,-,293557,-,263979,-,289732,-,323389,-,331609,-,338437,-,345671,-,373817,-,410967,-,393966,10,401386,5,440791,6,397816,12,428248,6,420791,9
Patrocínio (MG),88023,-,92787,-,97394,-,110997,-,136918,-,142202,-,140260,-,137316,-,144231,115,146657,45,152911,800,167768,940,173181,330,185681,215,200389,190,193892,480,210052,450,211667,270,240811,430,277136,485,288287,590
Patos de Minas (MG),70667,12,71831,29,68809,32,74127,-,81643,65,83433,69,81881,44,76144,200,82973,134,86037,310,85774,310,89096,435,84835,335,94411,360,101328,300,98698,580,98685,865,100908,510,109727,180,119796,186,124925,233
Frutal (MG),133898,-,157047,-,141498,-,154929,-,170647,-,168855,-,178686,-,175394,-,172984,-,199034,-,206870,-,214218,-,234057,-,250918,-,274746,-,276952,-,283455,-,299646,-,322553,-,327045,-,338180,-
Uberaba (MG),265409,73,256106,65,257812,-,304568,-,353176,-,383972,-,405963,-,357840,-,413506,-,384649,-,380017,-,375998,-,408337,-,420113,-,473976,-,458457,-,545122,-,502445,1,503181,1,499474,1,535707,5
Araxá (MG),198443,-,219154,-,233218,-,245222,-,279273,2,287498,2,283621,1,273013,1,302891,1,302475,1,298054,2,325999,4,340816,4,355427,4,369225,20,372099,55,378543,15,405447,1,400344,32,436259,107,491359,42
Três Marias (MG),24117,-,20833,-,18418,-,20291,-,21729,-,21771,-,22207,-,22254,-,23165,-,27979,-,27796,-,26772,-,25567,-,30354,-,30005,-,29449,-,33263,-,32513,-,32386,-,33813,4,34440,4
Curvelo (MG),25132,-,22826,-,22591,-,21540,-,21419,-,23077,-,21233,-,23398,-,23775,-,24215,-,23071,-,21920,-,15399,-,15456,-,15826,-,15429,-,10838,-,8491,-,9411,-,8981,-,9078,-
Bom Despacho (MG),32029,-,24222,-,27606,-,32397,-,43315,-,43721,-,43974,-,39597,-,41403,-,47177,-,47948,-,44728,-,39393,-,41771,-,46619,-,43653,-,37628,-,46541,1,46735,-,50094,-,51942,-
Sete Lagoas (MG),18897,-,15879,-,15756,-,14388,-,16015,2,17406,-,17357,1,17220,1,17165,-,15099,-,16338,-,15912,-,15611,-,14573,-,14707,-,13896,-,10741,-,4952,-,5417,7,5725,23,6701,84
Conceição do Mato Dentro (MG),12058,1,12523,1,12039,1,10932,1,12313,1,11627,1,11810,1,11235,1,10890,1,10920,1,10701,1,10248,1,10589,1,10032,-,9620,-,9729,-,8566,-,4151,-,4450,-,5547,-,5638,-
Pará de Minas (MG),5854,-,4366,-,4350,-,5095,-,5661,2,5369,2,5397,2,5426,2,5408,2,5353,2,5452,2,4800,2,4626,2,4679,-,4749,-,2986,-,3244,3,1564,20,1798,2,2142,2,2293,-
Belo Horizonte (MG),9378,68,9630,52,6018,60,6104,2,6654,174,6103,173,5738,173,5642,1,5659,1,4912,1,4722,3,4146,6,3304,6,3466,5,2795,9,2513,17,1885,9,1610,18,1687,6,1724,7,1757,10
Itabira (MG),19004,-,18342,-,17605,-,16358,-,17494,-,16587,-,15192,-,14916,-,14841,-,14426,-,13028,-,11895,-,11727,-,11234,-,10878,-,10319,-,7629,-,5026,-,5041,-,5439,-,5530,2
Itaguara (MG),14163,704,12452,544,9054,531,9248,435,9561,263,8809,253,7311,243,7595,178,7903,170,8732,175,8791,263,7791,165,7918,153,7311,117,7449,74,6704,78,5417,195,3769,190,3675,218,4037,188,4220,234
Ouro Preto (MG),6726,-,6706,-,7830,-,8449,-,8113,-,8114,-,7843,-,7914,-,7780,-,8034,-,8034,-,8029,-,8637,-,8542,-,7375,-,7023,-,6762,-,848,1,893,1,1206,1,1169,1
Conselheiro Lafaiete (MG),30508,3,27729,3,22636,-,24246,-,21475,-,20456,-,20678,-,20358,-,20775,22,22156,22,22362,198,15488,202,15462,202,14958,50,15482,110,15358,57,16152,120,9792,-,9960,-,10625,100,11442,190
Guanhães (MG),22465,1,19718,1,18558,-,19135,2,19084,2,18385,2,17113,2,16209,2,14479,2,13753,2,13603,2,14470,2,14557,2,15017,-,14206,-,15647,-,13474,-,6469,1,6328,1,6497,1,6713,51
Peçanha (MG),26649,2,22668,1,23513,1,23840,2,24191,3,24448,4,24004,4,22642,5,20187,3,19110,4,18144,1,18505,3,16673,3,16696,2,16194,-,15548,-,9903,-,7764,1,7144,1,7017,1,6698,1
Governador Valadares (MG),27370,-,25225,-,25046,-,21856,4,21862,10,16788,24,17141,24,14289,24,13453,24,12461,24,12584,24,12202,26,11682,13,10494,10,10492,10,8879,13,5539,3,4233,9,4371,4,4365,5,4559,8
Mantena (MG),6798,-,5044,-,6809,-,5745,-,4830,-,5030,-,4665,-,4273,-,4557,-,4385,-,4468,-,3516,-,3845,-,2909,-,3257,-,1775,-,1735,-,782,-,938,-,1032,-,1005,-
Ipatinga (MG),15948,-,14804,-,9154,-,9706,-,8798,-,5380,-,5909,-,5221,-,2992,-,3358,-,3368,-,3725,-,4545,-,4228,-,4098,-,4471,-,4131,-,1625,-,1854,-,2121,-,2124,-
Caratinga (MG),24990,57,23066,39,24243,32,22295,35,23967,40,22128,39,18740,45,21240,45,22575,60,23009,54,22937,52,20729,73,21183,78,20850,93,20551,54,20548,69,18076,72,8144,74,7376,71,8187,60,8129,76
Aimorés (MG),34705,33,30380,31,33610,29,31317,32,31884,35,31976,36,29637,44,29695,44,28785,46,28791,46,26117,46,22830,48,22923,48,21290,44,20309,44,12685,44,10375,30,7885,30,5519,-,5918,-,5819,-
Piuí (MG),27500,-,28358,-,31348,-,38311,-,47684,-,49358,-,42783,-,59137,-,63266,-,62191,-,54551,-,54986,-,60209,-,73956,-,78230,-,70815,-,77543,-,61825,30,71120,30,79950,10,84741,2
Divinópolis (MG),15829,5,15319,5,12587,5,11847,-,13377,5,12640,5,11921,5,11736,-,11624,-,11412,-,11433,-,10892,-,8881,-,9027,-,8148,-,7591,-,7073,-,3354,1,3712,1,4281,1,4536,1
Formiga (MG),37840,-,34903,-,33067,-,33529,-,34430,-,34632,-,34151,-,31052,-,33628,-,34482,-,34791,-,34033,-,29796,-,32097,-,33542,-,43152,-,39050,-,36580,1,42464,120,49634,250,56696,247
