"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Umbuzeiro (PB),1837,12,678,11,789,47,2247,71,2993,119,2230,88,3069,189,2322,122,5502,251,4337,221,1892,324,5582,344,1559,208,4801,402,3262,144,1655,109,2213,145,3696,159,1611,129,1360,147,3854,203
Litoral Norte (PB),46601,298,69038,365,74626,509,82672,753,89052,776,89684,1474,121211,1340,108392,1677,108167,1808,150417,2089,160825,1869,237733,2383,247202,2216,257045,1891,231593,2071,242462,2375,305174,2397,221064,2677,260659,3547,249284,3617,294461,4242
Sapé (PB),29845,2335,37894,517,43811,790,65198,1372,73376,1969,61166,2224,63436,2534,60701,2804,65898,3500,93466,3810,86570,3784,123890,3736,148607,3454,149083,4042,148230,3564,143197,4919,205289,6793,119824,5747,152837,8314,171019,7375,181678,7506
João Pessoa (PB),44040,90,61043,141,57458,134,76335,158,86622,152,91390,164,85185,232,81413,171,73399,248,99750,293,89581,329,125329,454,133020,449,137054,480,126914,410,134598,606,174086,747,107048,592,113428,775,109827,848,121135,897
Litoral Sul (PB),55913,1835,78392,718,76204,3048,97323,2043,91985,4182,82747,2823,107991,3095,95641,2882,93728,3278,134301,1707,134221,2833,167170,4235,129477,1546,125382,2309,179736,2592,168004,3248,244461,4390,162220,2354,225973,6641,198481,5092,225222,7161
Araripina (PE),16791,16,7168,11,22755,14,32565,8,22859,8,22870,7,40020,-,33835,-,71204,26,48856,29,47625,32,24173,52,3489,-,18553,-,53807,-,39431,-,30274,-,27013,-,65515,-,61477,-,128953,-
Salgueiro (PE),17527,32,13543,45,16927,51,20430,47,22544,37,32046,39,28664,-,27540,-,46162,26,42735,30,22404,36,46014,82,27840,-,44412,-,24628,-,19461,-,10736,-,14846,-,14992,-,12427,19,37753,8
Pajeú (PE),19839,502,4881,226,51424,239,44813,284,24968,450,38687,471,53187,569,36816,704,59768,656,45350,634,16447,626,48165,663,4685,249,4321,279,28838,451,5587,234,17433,696,28840,887,33156,840,37598,1476,56047,2046
Sertão do Moxotó (PE),8064,-,3707,-,8334,-,20948,-,20569,-,40793,-,35371,-,55463,-,57931,-,47583,-,52404,-,54415,-,114269,-,47823,-,55705,-,43495,-,52632,-,50359,-,62309,-,70512,-,101099,-
Petrolina (PE),35946,26,46798,175,68914,322,77550,590,116603,651,110560,650,66520,553,83513,428,120624,968,168902,562,135713,508,120256,712,139544,333,154833,260,54332,-,70034,-,64450,-,69321,-,114252,-,120679,-,148311,-
Itaparica (PE),24900,76,23933,35,25165,62,22131,55,34272,55,34729,55,27313,-,32321,-,48989,40,37441,32,43166,31,35319,34,46694,-,43315,-,24599,-,23277,-,23264,-,19905,-,22297,-,34961,-,34067,-
Vale do Ipanema (PE),7029,-,7104,540,12735,540,6020,1540,16007,840,20800,1350,27977,1000,36946,1148,41958,2100,47212,2625,40701,2800,46128,2800,106179,2576,43094,1400,24358,4550,18616,4200,19754,8640,27550,8160,26342,4000,11333,3180,26442,2459
Vale do Ipojuca (PE),10676,131,11429,126,35945,149,23238,123,29604,134,31505,171,27972,83,47048,123,47188,198,40726,205,41022,194,65341,301,46407,214,49269,61,42461,62,40078,189,29700,92,43297,175,38154,633,29139,722,66309,1160
Alto Capibaribe (PE),3373,65,463,49,1458,67,633,17,1002,21,1623,16,1503,20,1362,24,4665,118,5698,121,106019,135,108797,188,4956,255,2671,91,2846,118,967,141,2397,248,5854,101,2759,110,1766,47,20940,84
Médio Capibaribe (PE),14260,182,7703,131,16651,266,15220,175,12073,36,14590,103,19236,262,16352,155,20721,318,23134,543,76677,926,56042,831,50470,1014,28682,557,33440,638,16461,608,37540,1137,30830,330,29586,552,19138,506,46385,790
Garanhuns (PE),28525,1911,39902,1876,61787,2473,76359,2937,91201,2008,71292,1997,85670,4059,115741,4315,111512,5815,114258,3380,100809,3360,126477,5513,170237,3697,145578,4158,167258,4567,166792,5292,96683,6088,124285,16067,104862,9755,128671,21359,186464,26208
Brejo Pernambucano (PE),19583,553,22886,643,38674,934,33618,1627,31141,1764,41501,3127,30231,887,32264,744,38158,3771,34892,3771,111956,3961,99414,3786,74450,1373,61195,174,58842,260,82905,396,81162,291,86088,7777,31840,7296,30809,9146,40523,9753
Mata Setentrional Pernambucana (PE),125421,462,150413,461,243807,708,244000,651,228421,721,223587,1063,347307,1375,315008,1163,397131,1208,462190,1117,427470,1194,407567,1446,299772,2108,338411,1563,354600,1233,433669,1063,421024,1014,376575,2694,401919,2493,405206,3765,518106,2011
Vitória de Santo Antão (PE),21183,180,30689,166,29770,178,30630,209,29799,246,28735,404,34768,-,31728,37,36223,44,26524,60,52399,59,34513,40,44906,290,51389,-,43967,-,61164,-,63723,-,63723,-,60100,390,73613,250,86339,522
Mata Meridional Pernambucana (PE),139980,201,193253,266,190349,311,181860,652,234149,686,271324,936,262546,-,288714,31,277417,875,370695,875,430603,639,491652,813,365759,762,363834,1381,356435,283,389932,566,558848,62,401787,738,431234,3892,456833,5583,605461,6261
Itamaracá (PE),12537,-,13949,-,20503,400,29196,58,41696,29,31305,155,28541,184,33367,189,35696,89,28814,106,32092,89,45704,122,29331,28,33921,2,36458,-,46044,-,50373,-,49901,-,45331,302,53263,244,86166,210
Recife (PE),26102,-,16974,-,29158,107,55817,40,65201,-,64618,72,67349,78,69736,84,83073,54,77614,54,76064,36,103855,49,62567,8,72468,9,82761,-,126030,-,107414,-,78465,-,62527,-,59192,632,133527,675
Suape (PE),49564,-,32913,-,55579,-,87657,-,94069,-,96764,-,29664,-,30824,150,37510,158,37510,158,24435,157,52133,60,39031,-,42861,-,34410,-,72001,-,62782,-,60034,-,163603,1662,173157,264,266981,446
Fernando de Noronha (PE),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Serrana do Sertão Alagoano (AL),11773,-,9967,-,12840,-,5324,-,5892,-,16778,-,15664,-,12911,-,23501,-,15838,-,10103,-,9376,-,4901,-,7494,-,7578,-,7161,-,6875,-,13615,351,15530,284,18515,758,32864,783
Alagoana do Sertão do São Francisco (AL),2642,-,1847,-,3517,-,414,-,870,-,6103,-,5287,-,3783,-,8098,-,3812,-,3460,-,2858,-,53,-,177,-,773,-,18,-,-,-,2991,300,1162,545,3399,556,6276,680
Santana do Ipanema (AL),3624,-,12187,-,17946,-,1026,-,7464,-,10006,-,8390,-,8450,-,14049,-,8630,-,7517,-,7590,-,422,-,8791,-,3998,-,4026,-,606,-,5984,-,1580,16,2074,40,7099,224
Batalha (AL),2943,-,6017,-,10801,-,915,-,8931,-,5424,-,5095,-,4783,-,7800,-,5292,-,5837,-,7921,-,1387,-,7377,-,3571,-,4900,-,481,-,2650,131,1518,212,1866,120,2403,329
Palmeira dos Índios (AL),5081,95,4925,90,8930,220,7409,219,11198,176,12241,201,12221,259,11718,238,17039,338,15127,381,15391,368,16048,358,17973,375,20493,937,11016,1019,10236,786,10605,1224,10142,3006,13516,3705,18069,5110,34578,8304
Arapiraca (AL),51979,2536,49475,3182,93081,1353,70961,1677,69383,2305,59074,3635,54025,2816,61423,1879,92972,2255,89978,2587,101877,2330,111299,2049,189688,10477,140049,1728,144386,5744,144926,6669,136592,5471,188341,9621,159716,9182,189567,13156,240018,16308
Traipu (AL),4415,-,4688,-,8116,-,3412,-,3256,-,2860,-,2738,-,2910,-,5242,-,3567,-,3401,-,2836,-,5070,-,5332,-,3894,-,2715,12,6393,16,16633,239,5260,309,4795,299,11825,227
Serrana dos Quilombos (AL),48287,671,60943,1120,62476,3231,58067,1730,61452,1163,63679,3520,62622,2312,72555,2452,84663,1999,89453,2303,82317,1550,112701,1466,118538,2621,84730,1795,121896,2049,146366,2553,138502,4771,193650,8376,93141,13481,105716,16202,111867,20068
Mata Alagoana (AL),246597,398,254357,515,196018,931,246180,614,246329,541,220204,695,236866,751,245613,683,334454,617,354966,712,334806,770,472861,739,436660,1124,443511,1049,478681,1364,428060,1330,415341,2930,437303,7401,346662,8414,374225,10242,349489,12203
Litoral Norte Alagoano (AL),39761,216,40345,258,25782,337,37756,330,40852,342,35046,-,36320,223,37768,178,48323,161,51607,146,47910,188,66841,188,59168,-,72474,154,100270,1466,34525,1388,46986,687,112488,880,87028,1181,90383,1199,82909,1202
Maceió (AL),104945,-,133076,115,132504,174,108067,131,129016,168,114049,239,127237,177,126802,112,158889,66,175369,61,166568,72,242808,73,202978,-,237013,14,238261,-,211828,-,184541,-,114479,42,163011,256,192482,573,180932,549
São Miguel dos Campos (AL),268096,-,305088,-,345592,-,346000,-,323061,-,329486,-,376562,-,417082,-,486294,-,528743,-,507776,132,729632,102,674787,141,721455,285,591933,615,548309,1106,559862,3761,465758,10758,518166,5179,584860,6626,675995,12417
Penedo (AL),39288,2,47220,2,48709,2,42123,1,69673,1,65712,1,69079,1,72276,2,96887,4,101634,3,96934,1,132282,2,116820,4,126854,4,148948,6,180648,12,180882,83,181796,341,99101,483,109092,537,119761,638
Sergipana do Sertão do São Francisco (SE),6093,3,8226,3,11349,5,8822,6,11857,-,22750,-,27941,-,42260,-,23951,-,32079,-,53060,-,25757,-,13654,-,32368,-,45666,-,30885,-,14966,-,82225,-,9695,-,87087,-,159085,-
Carira (SE),7312,25,4891,33,6746,89,16608,121,14279,152,13634,129,14809,144,26186,132,133432,432,113551,306,179171,528,114496,600,41285,762,157926,858,178255,996,120502,900,46998,1525,177410,2138,15167,950,251601,2520,383385,2837
Nossa Senhora das Dores (SE),4872,38,4937,52,7956,60,15397,51,12797,45,12789,29,13624,50,18621,64,26823,66,23295,58,32796,57,31858,55,36823,141,36604,74,31985,91,29263,79,26249,136,27662,80,21537,44,50216,45,67044,47
Agreste de Itabaiana (SE),13112,3710,14323,4314,23689,7991,41327,9210,26606,8587,18724,5492,24030,5984,23136,6504,47360,22500,35445,10548,41206,17974,39646,15245,62213,23198,76711,25271,65043,25046,62432,26791,72757,33206,74242,40277,40549,24460,86377,54092,98551,53746
Tobias Barreto (SE),12780,128,7945,225,17664,210,28978,176,30533,450,29520,131,30669,137,52346,315,53990,365,61288,279,65213,272,87711,223,124214,329,122721,168,97740,148,101264,-,33200,-,168868,-,23223,-,158317,-,251806,-
Agreste de Lagarto (SE),14114,290,12301,446,23362,371,57920,331,32816,698,22691,203,30171,234,35305,531,48488,495,47052,437,38587,371,38594,304,78996,61,100591,54,59446,53,75066,64,91662,120,87921,123,50292,-,59550,980,80311,1944
Propriá (SE),10690,6,14191,12,16784,15,22431,15,22615,17,17563,18,23647,32,31275,36,43802,30,25255,10,39080,28,29079,27,49472,66,50214,24,51672,29,45889,21,47861,43,55824,31,39763,9,40973,10,56680,11
Cotinguiba (SE),3439,4,3467,11,6173,6,11311,7,9464,24,9493,15,19085,53,21153,75,25817,165,47247,180,64920,165,67141,152,67495,197,44322,205,41889,29,36918,29,23976,35,21492,40,33045,48,32564,64,39749,151
Japaratuba (SE),17924,38,20281,44,23847,45,25595,53,30306,60,30588,57,38138,89,40143,111,41248,78,47585,72,58854,72,68438,69,71203,124,67259,96,59726,107,65937,233,67131,299,65557,298,60104,230,62534,304,68896,384
Baixo Cotinguiba (SE),10915,26,9382,42,10773,32,14458,41,28062,123,29695,86,38721,154,29821,126,32473,342,38317,394,47789,404,58374,362,71196,371,62586,388,57239,307,69937,359,59924,398,50868,1662,63131,915,49073,703,74494,895
Aracaju (SE),1284,11,1134,13,1495,8,2275,-,2639,-,2147,-,3029,-,2396,-,2550,-,2744,-,4364,-,4758,-,5700,-,5622,-,5094,-,14589,-,13912,-,15279,-,10055,9,6245,28,4691,40
Boquim (SE),3658,142,2933,190,5366,171,14357,200,8769,291,7694,168,9354,196,10237,270,18569,382,15449,392,13466,374,12278,286,25287,306,32149,228,22603,197,22546,36,28558,60,19457,207,23677,-,19700,191,42025,-
Estância (SE),2408,64,1848,61,3706,42,12327,82,8642,87,6193,101,7826,153,9092,141,20000,298,18052,300,17120,290,16001,229,25225,266,26742,187,13586,196,11606,-,16028,322,11154,460,9124,-,10310,558,11254,113
Barreiras (BA),620252,102,699112,113,955728,-,1526333,-,2367899,-,1823930,-,1474970,-,2233251,-,3064847,-,2487132,-,2667947,-,4203317,-,5524903,-,4331239,-,5642766,-,6060039,-,4885892,-,6601970,-,9711664,-,8616324,-,13133827,-
Cotegipe (BA),61561,57,52172,53,100105,-,61994,-,69435,-,29371,-,31078,-,31944,-,43364,-,43538,-,47960,-,55012,-,30439,-,55940,-,77878,-,83930,-,232906,-,56331,-,55972,-,51607,-,55240,-
Santa Maria da Vitória (BA),172625,2,171053,4,363266,-,323820,-,459658,-,385753,-,290125,-,520508,-,686379,-,611013,-,610185,-,1016046,-,925712,-,1119651,-,1666386,-,1205550,-,1446061,-,1483440,-,2257308,-,2073917,-,3166006,-
Juazeiro (BA),148268,174,135644,448,541211,12,151249,20,177724,13,161101,13,209753,13,313612,13,356879,-,316934,-,289458,-,198350,-,213904,-,156388,-,962683,-,307310,-,398363,-,187615,1,213950,1,255103,1,302613,4
Paulo Afonso (BA),6183,-,15246,-,10031,-,9509,-,6027,-,4278,-,7048,-,5902,-,6331,-,6279,-,6202,-,4052,-,4378,-,3365,-,3845,-,3486,-,2644,-,15663,-,14137,-,16142,-,12496,-
Barra (BA),8064,15,6478,5,15283,14,14176,17,23937,34,24573,58,29456,-,16564,40,28344,15,40826,55,38450,50,31284,11,15494,-,26701,10,36610,60,22865,44,35295,707,30143,303,27064,280,20671,187,20844,21
Bom Jesus da Lapa (BA),45538,36,16957,90,82149,144,89342,123,80914,156,38617,174,26303,75,38166,46,45917,32,27393,70,21514,-,48053,-,43819,-,42726,-,88449,-,47625,-,61853,-,37160,-,32704,-,60375,-,76726,-
Senhor do Bonfim (BA),51833,150,33914,109,14156,88,71619,649,41386,522,29063,441,24325,415,60126,423,30088,267,36178,308,36214,234,32580,211,20482,186,20581,156,131633,540,151270,267,42348,460,34307,498,41003,258,53637,277,95061,337
Irecê (BA),125693,6,65356,7,149759,-,164692,-,267567,-,176460,-,78223,-,122425,-,216389,-,172686,-,279345,-,282254,-,119697,-,100978,-,175285,-,220010,-,261584,-,198120,296,261386,-,344133,-,512630,-
Jacobina (BA),57490,529,42567,478,33108,417,59485,20,77963,216,54293,218,58646,357,74112,187,57746,185,47814,297,45230,219,36704,181,40255,14,20749,8,32175,34,79042,28,98566,48,45152,157,35457,157,51343,194,55970,172
Itaberaba (BA),23687,12,24853,21,32689,18,42798,16,30326,22,29948,27,38506,7,48739,12,80664,10,100835,120,127891,83,120159,115,86146,-,59736,149,59961,451,74418,354,56983,343,34368,503,32445,580,30535,411,52212,466
Feira de Santana (BA),38629,180,30361,218,47849,470,62562,562,46170,641,82400,789,92949,1178,94053,1231,78693,1190,115215,3403,141867,4721,104912,3905,32205,102,86470,63,84522,103,74675,94,58843,123,48747,15,25307,28,27499,38,30819,29
Jeremoabo (BA),20281,8,12756,14,90205,-,15361,-,60485,-,56632,-,46921,-,112476,-,65509,-,73238,-,110415,-,23045,-,17575,-,62040,-,47327,-,28198,-,4537,-,21796,164,1694,-,13185,32,126549,16
Euclides da Cunha (BA),29801,56,35803,27,110208,22,161902,37,116713,33,93668,46,95795,49,179572,226,166363,174,116297,129,238801,121,41038,75,19354,-,149968,32,107142,80,256094,56,126924,-,38637,3,12071,9,165819,50,245447,50
Ribeira do Pombal (BA),65933,-,40207,-,82893,-,123876,-,121478,-,142051,-,122287,-,348613,-,165396,-,152466,-,184047,-,125849,-,39956,-,225908,-,116962,-,288014,-,175151,-,230126,-,97274,-,290970,-,702374,-
Serrinha (BA),16975,90,16683,91,13153,92,36153,111,26114,140,37003,322,51191,334,20905,267,25018,207,27397,90,53373,175,15224,128,13232,88,20287,82,12883,186,32558,248,5806,218,8251,368,13455,531,19726,833,49698,1047
Alagoinhas (BA),10842,186,14887,140,26833,186,45093,131,32405,134,29565,200,33489,162,44387,193,62518,195,47392,76,53705,120,53085,120,94649,138,51436,45,57746,143,68295,273,77711,2134,100591,1399,96411,63,93002,653,148245,921
Entre Rios (BA),2620,46,3749,48,4211,70,6285,43,4731,45,4889,57,7578,50,9816,53,13188,56,9250,35,8892,40,8951,40,14404,52,9745,-,17447,-,28155,19,21670,42,30334,42,22715,105,23535,85,22763,69
Catu (BA),10563,75,7607,77,15162,96,15977,78,12429,96,20576,87,20670,106,22651,84,22874,140,18677,50,20832,80,25801,104,36326,-,40449,-,41420,-,26600,-,29704,-,14450,-,7107,-,7364,38,7051,34
Santo Antônio de Jesus (BA),58952,1435,59908,1652,94718,4073,125731,4920,117827,5418,93507,7607,118944,6684,132930,7052,144931,8349,101547,5220,107021,5238,106703,6289,124874,4792,125800,4800,156942,5779,119542,5834,175639,8784,82210,1396,80216,1205,89900,1878,80376,1875
Salvador (BA),2696,15,2981,24,1290,-,1126,-,849,-,1105,-,1322,-,1325,-,2418,-,1571,-,1544,-,1887,-,3063,-,6169,-,6072,-,13715,12,13071,8,6782,-,6738,59,6516,59,6402,52
Boquira (BA),24891,39,23744,-,43905,-,30517,-,25888,-,25179,-,22317,-,40343,-,28658,3,30005,3,22652,2,20101,3,17223,-,20153,-,21425,-,21328,-,28700,-,31318,-,23781,-,22013,-,28859,-
Seabra (BA),72056,63,103669,6,220133,4,214949,3,188330,8,182244,8,278303,-,386484,-,382762,10,392438,20,418763,268,537102,332,320558,284,347610,114,675921,181,725535,219,780766,644,667282,155,704101,122,982301,175,1228386,217
Jequié (BA),61501,91,57660,137,69853,108,102646,214,92650,112,72844,47,92841,373,100868,131,96013,125,79511,207,73148,481,81176,925,78503,377,91181,740,111158,684,127090,1184,127303,1003,100688,524,80134,345,89429,458,76210,298
Livramento do Brumado (BA),19997,-,15607,-,31445,-,20590,-,21891,-,21664,-,13909,-,30307,-,22160,-,15477,-,19561,-,14151,-,17887,-,12199,-,21416,-,17034,-,22481,-,13914,-,9332,-,8052,-,14944,-
Guanambi (BA),80635,-,37169,-,111961,-,93467,-,167713,-,101393,-,53888,-,93374,-,112404,-,112579,-,89568,-,222927,-,47869,-,97779,-,75765,-,50890,-,56762,-,57841,-,53799,-,69228,-,91073,-
Brumado (BA),11027,-,11453,-,14940,-,22661,-,24797,-,25446,-,21863,-,33350,-,30507,-,25792,-,20105,-,25950,-,23209,-,23816,-,41245,-,41788,-,38294,-,22715,-,20983,-,26395,-,37704,-
Vitória da Conquista (BA),25746,30,17466,27,50185,31,86133,43,107506,55,62152,42,69762,31,66311,32,58879,20,55642,60,42255,196,60451,399,38148,41,73133,185,77456,332,106327,686,87905,321,55414,562,52249,453,57287,668,65348,687
Itapetinga (BA),5847,43,5400,46,12703,103,12387,104,11347,100,8690,-,15417,-,18665,-,15012,-,12222,-,6607,-,19743,-,11027,-,18201,-,23133,-,30528,-,17616,-,10363,-,6827,-,6618,-,6792,-
Valença (BA),14023,-,12648,-,12168,-,12391,-,12100,-,16343,-,25044,-,33193,-,39147,-,33938,-,40711,-,36848,-,37553,-,37835,-,16127,14,16165,14,21301,14,19587,22,18911,16,18027,21,12879,21
Ilhéus-Itabuna (BA),21640,262,24897,231,48197,203,53138,152,55400,253,39127,241,44001,222,43587,237,52921,174,55184,160,52032,179,49719,154,68370,223,75438,260,90746,-,58465,-,87257,-,50916,-,29709,-,33727,-,25196,-
Porto Seguro (BA),140017,457,163754,435,369185,337,141901,862,153172,666,110269,2516,139041,2432,154900,2688,244135,2100,192443,2236,204604,2157,241913,583,259299,255,282130,505,274026,3043,318435,4271,339044,4586,272296,3676,278293,3832,284808,2923,287409,5950
Unaí (MG),212697,-,162894,-,421820,-,622920,-,601105,-,597251,-,430833,-,595446,-,1104172,-,973152,-,750951,-,1290102,-,1412858,-,1363205,-,1405691,-,1505432,-,2023043,-,1871825,1334,1995771,1683,2163593,2336,2857922,3922
Paracatu (MG),158482,-,166738,-,334635,-,400947,-,391036,-,449758,-,353194,-,444240,-,589505,-,731829,-,796427,-,1062031,-,1268822,-,1281795,-,1238670,-,1296066,-,1804439,1650,2011451,-,1924257,-,2101949,-,2754530,-
Januária (MG),56494,-,55080,-,75147,-,86438,-,116432,100,109870,124,58014,121,111769,154,153510,146,156168,175,127123,72,115707,33,101683,269,90366,1321,94295,1680,88602,3275,142758,6250,150974,19092,137257,7438,125601,5697,195512,6175
Janaúba (MG),34611,98,21980,67,46237,-,33131,52,47251,401,44033,506,20018,517,76226,482,93575,548,75489,751,87738,610,85777,381,63669,318,90141,725,102029,285,144038,500,180360,4692,184247,1706,107968,2014,119493,7085,134497,8077
Salinas (MG),27608,24,26422,26,29905,15,43272,14,51828,48,53934,59,36420,39,51631,30,66533,33,65684,33,46368,22,77574,55,95923,3774,79721,2663,93918,4500,84572,3000,100826,2585,54211,680,50726,192,47022,231,52929,190
Pirapora (MG),16702,-,15799,136,28618,164,42017,130,56120,28,86439,44,66433,25,67169,8,98984,8,78899,8,137357,-,103794,611,127146,1308,180089,936,141613,288,137550,21,273950,24,220858,-,250299,25,298814,1714,382101,3893
Montes Claros (MG),55712,18,53153,7,68630,7,69176,35,80754,35,95301,54,65671,54,102617,-,154283,-,155636,-,127759,-,114166,-,77899,-,86148,2402,75463,3,98578,9,115400,49,50673,351,55683,38,52204,33,72322,51
Grão Mogol (MG),8643,-,5786,-,5113,-,7342,-,7553,-,8787,-,6861,-,9578,-,12073,-,13009,-,11616,-,12736,-,9837,-,8519,-,6700,-,11083,60,9450,72,7693,-,8140,-,5466,-,7645,-
Bocaiúva (MG),12569,-,12744,-,14807,-,19675,-,16831,-,20070,-,15338,-,20121,-,25417,-,28919,-,26083,-,19696,-,19086,-,16842,-,12069,-,27520,-,26317,-,15215,8,15550,9,13633,7,14536,8
Diamantina (MG),4799,-,5648,-,7581,-,9357,-,9006,-,9958,-,8693,-,14318,-,17109,-,19281,-,19392,-,20137,-,25178,-,26210,24,23568,-,26838,48,34805,60,9549,12,13929,12,29648,94,32873,91
Capelinha (MG),20541,6,21080,4,24466,6,23200,2,26640,3,35687,13,26846,11,44672,14,44452,26,53782,23,33395,10,42934,46,47809,72,33841,-,29009,-,35801,-,45706,-,36519,80,39612,77,33644,71,45631,96
Araçuaí (MG),11872,1,6922,-,15145,-,14372,-,17279,-,16516,-,15443,-,19393,-,20927,-,23743,-,19317,-,23649,-,24411,-,23358,-,26728,-,29581,96,32469,90,23160,27,23514,24,21052,22,22989,59
Pedra Azul (MG),13683,18,15303,25,13482,15,14967,13,18903,17,22727,17,20426,17,20628,17,23014,17,20424,17,21510,16,13653,64,15112,53,9692,3,13101,-,11654,-,10889,-,6144,8,7826,8,6849,7,6899,-
Almenara (MG),11880,14,11163,9,17529,-,25000,-,16743,-,19070,-,14329,-,19057,-,27239,-,35300,-,34114,-,37147,-,34172,-,29739,-,30774,-,34402,-,31969,-,14294,7,15544,8,14390,7,13057,85
Teófilo Otoni (MG),11620,-,7425,-,21917,-,23007,-,19868,-,19651,-,22098,-,24873,-,31178,-,28528,-,26496,-,38291,-,51726,-,52412,22,43094,-,46511,30,54147,36,28936,37,30237,17,23863,19,27535,-
Nanuque (MG),8919,-,7692,-,20026,-,8007,-,7931,-,9390,-,23355,-,26754,-,26425,-,26820,-,29059,-,35948,-,31343,15,38726,-,32465,-,47680,-,26839,10,23945,-,18008,10,17329,13,22280,12
Ituiutaba (MG),54069,8,48270,7,78255,-,153890,-,172943,-,140868,-,150005,-,172889,-,206844,-,224023,-,283478,-,472946,-,398830,-,428819,-,471918,-,586090,-,690118,-,861934,-,787981,-,868072,-,1144917,-
Uberlândia (MG),333542,-,346181,-,438571,-,554479,-,655758,-,549972,-,524009,-,568736,-,830519,-,902142,-,780737,-,1203102,-,1300621,-,1333647,-,1552345,-,1468592,165,1979259,120,1909518,82,1785822,239,1856613,80,2357498,181
Patrocínio (MG),81111,-,85076,-,141017,-,189696,-,230042,-,244789,-,200573,-,291379,-,409413,863,370564,378,395409,20000,526589,17994,571224,5404,649574,3262,695097,3564,679759,6612,938226,7913,780175,5178,973059,10392,1202893,10758,1673561,13715
Patos de Minas (MG),92878,21,134624,80,128022,94,210421,-,268445,527,258909,584,193484,326,212956,2400,287869,1491,303509,2295,353263,7425,440379,8100,506265,4410,601887,5105,576829,5765,812086,8970,1159382,16099,658623,11040,693556,3584,983303,3681,1372138,4622
Frutal (MG),263138,-,260153,-,225017,-,296499,-,322394,-,273922,-,332672,-,397344,-,434169,-,508762,-,625018,-,1210625,-,1061601,-,1064729,-,1186993,-,1209556,-,1449970,-,1568933,-,1870265,-,1817728,-,2030621,-
Uberaba (MG),202388,404,280606,343,319089,-,505188,-,610804,-,634392,-,692530,-,787624,-,962138,-,880381,-,1071436,-,1264434,-,1526607,-,1541922,-,1581647,-,1454994,-,2193647,-,2250862,24,2187619,21,2315832,17,2985038,80
Araxá (MG),174512,-,258623,-,384490,-,542863,-,686074,24,607793,23,509152,9,676302,9,1145706,8,992307,11,1109183,41,1464675,67,1532432,80,1857082,95,1552302,380,1832885,1194,2330074,450,2250681,4,2343264,571,2661940,2494,3627307,935
Três Marias (MG),23450,-,25086,-,29263,-,37924,-,38195,-,46488,-,51191,-,72001,-,77509,-,88135,-,96480,-,110931,-,93232,-,122163,-,113408,-,127564,-,192205,-,127559,-,135119,-,154051,75,187087,65
Curvelo (MG),15996,-,13139,-,23487,-,28343,-,30044,-,32586,-,16688,-,26894,-,56890,-,30768,-,81175,-,59257,-,31376,-,33029,-,40609,-,43676,-,40078,-,22035,-,36263,-,33077,-,44456,-
Bom Despacho (MG),26823,-,24735,-,39083,-,63151,-,66726,-,64459,-,73048,-,91297,-,76586,-,101170,-,115721,-,139927,-,118680,-,137215,-,158086,-,167414,-,178138,-,241312,17,250180,-,272668,-,304211,-
Sete Lagoas (MG),23401,-,21803,-,26106,-,33759,-,38813,9,46674,-,40425,9,53568,8,65848,-,65740,-,68047,-,82200,-,70138,-,80736,-,75331,-,71790,-,90003,-,39006,-,41883,120,48624,422,63975,1788
Conceição do Mato Dentro (MG),7111,3,9512,3,11678,3,12104,3,14325,3,15259,3,11470,3,18704,3,17502,3,16980,3,18791,3,22983,7,19880,5,21745,-,21006,-,24341,-,25483,-,10905,-,12313,-,16460,-,19085,-
Pará de Minas (MG),10875,-,9713,-,15299,-,26708,-,22813,13,32535,17,31001,25,38459,33,55460,32,42806,36,42406,48,69886,40,57595,46,66370,-,54557,-,52262,-,52788,54,18135,288,30862,24,29369,30,36462,-
Belo Horizonte (MG),13570,108,13377,87,11481,104,14488,4,19916,455,17118,642,14400,642,20098,10,22166,6,16771,9,16372,33,18597,65,33669,66,22398,61,19345,156,13884,322,17572,162,13304,285,15506,70,15481,86,19892,174
