"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Sena Madureira (AC),24394,67,26013,72,36967,19,47206,21,22354,36,26322,42,15774,33,19661,42,37874,63,26978,40,39084,78,26864,82,42115,59,90755,141,112784,155,67188,266,57288,205,49866,239,34336,264,33109,246,28698,223
Rio Branco (AC),33563,-,27981,-,33345,-,43487,-,49032,-,61238,-,50612,-,76227,-,81586,42,51698,53,84900,63,122894,337,168159,311,159653,344,167530,493,157893,554,161657,563,136988,560,122700,510,113409,486,116473,478
Brasiléia (AC),25541,-,17982,-,18542,-,23291,-,19361,-,18280,-,16317,-,21427,-,24810,-,15908,-,28706,29,38998,69,37120,78,46060,53,57546,87,47640,107,52589,121,48824,105,45524,77,40036,64,39531,65
Rio Negro (AM),3883,4,4467,7,4318,7,4310,1,5815,1,8003,2,8073,2,10203,2,11656,1,11432,1,6657,480,9841,160,11663,250,18617,317,14354,244,32923,172,29499,636,11538,96,4540,-,8570,-,7501,-
Japurá (AM),575,-,576,-,581,-,581,-,898,-,1285,-,1303,-,1697,-,11186,-,11407,-,3037,-,3506,-,4730,-,5374,-,10154,-,9588,-,34004,-,36174,-,5601,-,4843,-,4477,-
Alto Solimões (AM),14452,0,19713,0,19696,0,19664,0,17466,1,12835,1,13095,1,13341,1,15570,2,11771,2,17873,141,30072,410,32581,465,46581,359,32190,167,45738,124,59287,-,40044,9,40922,210,45197,188,52140,182
Juruá (AM),22033,3,36776,3,21960,3,14168,7,15202,12,14206,5,18741,19,13643,20,32054,15,28280,16,31723,277,35798,615,57749,524,59633,446,43955,840,52079,368,52136,947,50595,934,53909,358,54453,503,59030,3408
Tefé (AM),32885,-,32710,-,32876,-,19943,-,19512,-,35007,-,37329,-,37545,-,18814,-,16550,-,80690,-,101916,-,71092,32,87754,44,114958,44,69065,29,182938,-,195258,-,192000,-,223349,-,236312,-
Coari (AM),11094,5,10991,5,11406,5,11407,5,11768,10,7590,8,10867,8,14273,14,32587,5,27539,6,33126,300,36172,357,31754,199,34256,138,50119,-,23900,-,24246,-,23218,-,28298,-,31254,-,31816,-
Manaus (AM),16254,53,34116,158,35699,54,35677,54,26758,53,46275,69,41633,69,41895,71,20916,27,20516,28,103665,5448,125992,6218,125503,3388,200139,3944,215697,3972,242613,6411,272553,6961,412277,7546,372018,11450,409888,5952,270481,7196
